gene group
RAB33A ADRN
RAB6B ADRN
RALGDS ADRN
RANBP1 ADRN
RBBP8 ADRN
RBMS3 ADRN
RBP1 ADRN
REC8 ADRN
REEP1 ADRN
RET ADRN
RFC4 ADRN
RGS17 ADRN
RGS5 ADRN
RIMBP2 ADRN
RIMS3 ADRN
RNF144A ADRN
RNF150 ADRN
RNF157 ADRN
RNF165 ADRN
RNFT2 ADRN
RRM2 ADRN
RTN1 ADRN
RTN2 ADRN
RUFY3 ADRN
RUNDC3A ADRN
RUNDC3B ADRN
SATB1 ADRN
SBK1 ADRN
SCAMP5 ADRN
SCG2 ADRN
SCG3 ADRN
SCN3A ADRN
SEC11C ADRN
SEPT3 ADRN
SEPT6 ADRN
SERP2 ADRN
SETD7 ADRN
SHC3 ADRN
SHD ADRN
SIX3 ADRN
SLC10A4 ADRN
SLC35G2 ADRN
SLIT1 ADRN
SLIT3 ADRN
SNAP25 ADRN
SNAP91 ADRN
SOX11 ADRN
ST3GAL6 ADRN
STMN2 ADRN
STMN4 ADRN
STRA6 ADRN
STXBP1 ADRN
SV2C ADRN
SYNPO2 ADRN
SYT1 ADRN
SYT4 ADRN
TACC2 ADRN
TAGLN3 ADRN
TBC1D30 ADRN
TBPL1 ADRN
TCEAL7 ADRN
TDG ADRN
TENM4 ADRN
TFAP2B ADRN
TH ADRN
THSD7A ADRN
TIAM1 ADRN
TMEM108 ADRN
TMEM178B ADRN
TMEM97 ADRN
TMOD1 ADRN
TMOD2 ADRN
TMTC4 ADRN
TOX2 ADRN
TRAP1 ADRN
TSPAN13 ADRN
TSPAN7 ADRN
TTC8 ADRN
TUB ADRN
TUBB2A ADRN
TUBB2B ADRN
TUBB4B ADRN
UBE2C ADRN
UBE2T ADRN
UCP2 ADRN
UNC79 ADRN
VRK1 ADRN
ZNF195 ADRN
ZNF22 ADRN
ZNF24 ADRN
ZNF512 ADRN
ZNF536 ADRN
ZNF704 ADRN
ZNF711 ADRN
ZNF738 ADRN
ZNF91 ADRN
ZWILCH ADRN
