p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.024648300078766,0.388,0.003,0,10,IGHD
0,4.917054845131464,0.293,0.021,0,10,LY86
0,4.871779135934884,0.924,0.147,0,10,CD37
0,4.848065411948837,0.213,0.014,0,10,GPR18
0,4.842203633394612,0.532,0.019,0,10,TCL1A
0,4.688856674327861,0.239,0.02,0,10,RUBCNL
0,4.684360879359703,0.231,0.023,0,10,CD40
0,4.55250824172436,0.822,0.06,0,10,IGHM
4.220491213475872e-186,4.469942372040899,0.211,0.033,1.7662755728396524e-181,10,P2RX5
1.0535187363585298e-235,4.430928985785888,0.137,0.01,4.4089759116604476e-231,10,C16orf74
0,4.38232662434581,0.292,0.034,0,10,HVCN1
1.1867319893347427e-167,4.3114836713274345,0.149,0.018,4.966473375365898e-163,10,DAPP1
1.159840435447725e-208,4.290393678735851,0.134,0.011,4.853932222348729e-204,10,STAP1
0,4.214664671396493,0.671,0.101,0,10,CD83
3.0120112079132313e-193,4.213063012362442,0.156,0.017,1.2605266905116874e-188,10,HHEX
7.566328680429159e-296,4.177585685773125,0.214,0.021,3.1665085527596033e-291,10,NIBAN3
1.063638740619588e-238,4.161220794447578,0.177,0.017,4.4513281294929754e-234,10,GAPT
0,4.130811284974504,0.964,0.185,0,10,HLA-DRA
3.296522515734175e-212,4.127095406573979,0.184,0.022,1.3795946728347523e-207,10,P2RY10
1.1474424931149427e-136,4.0478004472053595,0.182,0.032,4.802046833686035e-132,10,EAF2
0,4.033403474783573,0.732,0.089,0,10,HLA-DQB1
1.3136331260995476e-183,3.987881776758002,0.158,0.018,5.497554632726607e-179,10,TMEM154
2.604171836633615e-125,3.9685765115074774,0.115,0.014,1.0898459136311679e-120,10,HLA-DOA
0,3.937184689131503,0.355,0.053,0,10,RCSD1
0,3.9322387296359302,0.635,0.073,0,10,HLA-DQA1
1.6983021849000397e-190,3.9248677600442528,0.176,0.022,7.107394643806666e-186,10,BLNK
0,3.901126666163706,0.979,0.258,0,10,CD74
0,3.8721011473144724,0.567,0.095,0,10,BIRC3
0,3.8180450641614545,0.321,0.038,0,10,CCR7
0,3.809279302264412,0.664,0.102,0,10,CD69
0,3.804957077253013,0.325,0.03,0,10,SPIB
0,3.7971408096650405,0.392,0.051,0,10,HLA-DMB
2.193008376897739e-198,3.7854262213093524,0.206,0.029,9.177740057317037e-194,10,SP140
0,3.774109670695282,0.598,0.086,0,10,HLA-DMA
0,3.7738870872254733,0.921,0.156,0,10,HLA-DPB1
0,3.670849462032265,0.872,0.154,0,10,HLA-DRB1
0,3.665246945940445,0.532,0.095,0,10,RHOH
0,3.629303988833052,0.81,0.162,0,10,LAPTM5
2.5031517269501362e-174,3.6276384145310416,0.205,0.032,1.047568997728632e-169,10,TMEM156
2.178000509092321e-138,3.611838053086978,0.139,0.019,9.114932130551364e-134,10,HLA-DQA2
8.884927523012821e-161,3.5634356027994505,0.177,0.026,3.7183421683808657e-156,10,HSH2D
0,3.557378103410514,0.85,0.139,0,10,HLA-DPA1
0,3.501940833741327,0.908,0.182,0,10,CD52
2.880759554949236e-82,3.4792745731017054,0.144,0.032,1.2055978737462553e-77,10,PLEKHF2
6.703088320306552e-241,3.4713734369665246,0.305,0.054,2.805242462048292e-236,10,TAGAP
3.783481414988907e-196,3.3900843972699253,0.267,0.049,1.5833869721728577e-191,10,GNG7
1.4755467834132572e-83,3.386316155973644,0.13,0.026,6.175163288584481e-79,10,CYSLTR1
2.0557757184067803e-95,3.3797743725006235,0.139,0.026,8.603421381532376e-91,10,LRMP
4.287178223266609e-164,3.3498567348935375,0.237,0.046,1.794184086437076e-159,10,NCF1
4.7630617012807374e-197,3.3449419160542626,0.235,0.038,1.9933413219859888e-192,10,LAT2
7.30287161727759e-221,3.3206701341503524,0.332,0.069,3.056251771830671e-216,10,EVI2B
4.191498848472329e-98,3.3205030761691443,0.134,0.024,1.7541422680856697e-93,10,CIITA
0,3.2797975740507246,0.552,0.12,0,10,ISG20
